Day,Start_Time,End_Time,Activity,Category,Duration_Mins,Cognitive_Load,Autonomy_Level,Environment,Context_Notes
Thursday,21:00,23:59,Corporate Paradigm Peer Dialogue,Life Admin & Connection,179,3,High,Physical,Deep dialogue with friends parsing 12-hour corporate traps vs autonomous self-growth pilgrimages.
Friday,00:00,02:00,FIFA 26 Midnight Match,Life Admin & Connection,120,2,High,Digital,Competitive gaming to flush out active working memory and prepare for sleep.
Friday,09:30,11:00,Academic Crisis Advocacy Logistics,Life Admin & Connection,90,3,Med,Digital,Compiled medical report databases and corresponded with professors to save sick friend's university track.
Friday,11:00,13:00,Manual Spatial Hardware Assembly,Life Admin & Connection,120,3,Low,Physical,Stepped out of screen work to physically install door handles across multiple renovated rooms.
Friday,13:00,16:30,Kitchen Logistics & Multi-Meal Scale,Life Admin & Connection,210,3,High,Physical,Procured chicken and scaled kitchen engine to cook pork chicken dal and rice for 5 visiting parents.
Friday,16:30,17:00,Client Timeline Adaptive Negotiation,Life Admin & Connection,30,2,High,Digital,Texted boss to negotiate deadline delivery safely around massive real-world hospitality constraints.
Friday,17:00,19:30,Dinner Setup & Institutional Briefing,Life Admin & Connection,150,2,High,Physical,Cleaned house showered and welcomed visiting parents arriving for college admin work.
Friday,19:30,21:30,PharmD Exploitation Strategy Debate,Life Admin & Connection,120,4,High,Physical,Parsed first-year university legal traps (6-year fee demands); mapped out director negotiation plan for Monday.
Friday,21:30,00:00,11-Page Financial Data Redesign,Deep Work,150,5,Med,Digital,Rejected generic writer copy text; spent 2.5 hours tracking down Mega Round funding metrics and proof verification.
Friday,00:00,01:00,Steam Sale Structural Curation,Life Admin & Connection,60,2,High,Digital,Audited single-player and co-op game engines to purchase intentional interactive entertainment assets.
Saturday,08:00,13:00,Clinical Accompaniment & Lenskart Run,Life Admin & Connection,300,2,Low,Physical,Supported friend's weekly university hospital track; went to Lenskart to update computer lenses.
Saturday,13:00,14:30,Restorative Chinese Dining,Life Admin & Connection,90,1,High,Physical,Shared thukpa noodles momos chilly corn and fried rice with peers to decompress.
Saturday,14:30,15:30,Supply Chain Procurement & Return,Life Admin & Connection,60,2,Low,Physical,Purchased deep inventory of cat food and cat litter before returning home.
Saturday,15:30,17:00,Physical Battery Restoration Nap,Life Admin & Connection,90,1,High,Physical,Intentional afternoon sleep block to completely offset high environmental fatigue.
Saturday,17:00,17:10,Symbios Asset Image Transformation,Deep Work,10,3,Med,Digital,Rapid 10-minute workflow output converting a corporate PDF table layout into a crisp image format.
Saturday,17:10,18:00,Vertical Logistics Hardware Support,Life Admin & Connection,50,4,Low,Physical,Assisted houseowner hauling 4-6 heavy utility bags straight up to top floor vertical storage rooms.
Saturday,18:00,19:30,5-Year Chronological Database Curation,Life Admin & Connection,90,3,High,Digital,Grandma's bday; queried 2018-2023 photo archives to deploy nostalgic galleries to family channels.
Saturday,19:30,20:30,Domestic Cleaning & Cat Tracking,Life Admin & Connection,60,2,High,Physical,Managed post-haul room maintenance cycles dishes and domestic animal feeding loops.
Saturday,20:30,23:00,Harry Potter Cinematic Decompression,Life Admin & Connection,150,1,High,Physical,Fully stepped away from data engines to listen to nostalgic audio and restore creative capacity.
Saturday,23:00,02:00,IIT Patna Agentic AI Deep Research,Deep Work,180,5,High,Digital,Leveraged 100% design autonomy; spent 3 hours deep-diving advanced Agentic systems to wireframe annotated carousels.
